series_id,year_month,value,year,period,period_name
CES0000000001,2023-12,157304.0,2023,M12,December
CES0000000001,2023-11,157014.0,2023,M11,November
CES0000000001,2023-10,156832.0,2023,M10,October
CES0000000001,2023-09,156667.0,2023,M09,September
CES0000000001,2023-08,156421.0,2023,M08,August
CES0000000001,2023-07,156211.0,2023,M07,July
CES0000000001,2023-06,156027.0,2023,M06,June
CES0000000001,2023-05,155787.0,2023,M05,May
CES0000000001,2023-04,155484.0,2023,M04,April
CES0000000001,2023-03,155206.0,2023,M03,March
CES0000000001,2023-02,155060.0,2023,M02,February
CES0000000001,2023-01,154773.0,2023,M01,January
CES0000000001,2022-12,154291.0,2022,M12,December
CES0000000001,2022-11,154155.0,2022,M11,November
CES0000000001,2022-10,153897.0,2022,M10,October
CES0000000001,2022-09,153536.0,2022,M09,September
CES0000000001,2022-08,153281.0,2022,M08,August
CES0000000001,2022-07,153038.0,2022,M07,July
CES0000000001,2022-06,152348.0,2022,M06,June
CES0000000001,2022-05,151928.0,2022,M05,May
CES0000000001,2022-04,151642.0,2022,M04,April
CES0000000001,2022-03,151370.0,2022,M03,March
CES0000000001,2022-02,150876.0,2022,M02,February
CES0000000001,2022-01,150014.0,2022,M01,January
LNS14000000,2023-12,3.7,2023,M12,December
LNS14000000,2023-11,3.7,2023,M11,November
LNS14000000,2023-10,3.8,2023,M10,October
LNS14000000,2023-09,3.8,2023,M09,September
LNS14000000,2023-08,3.8,2023,M08,August
LNS14000000,2023-07,3.5,2023,M07,July
LNS14000000,2023-06,3.6,2023,M06,June
LNS14000000,2023-05,3.7,2023,M05,May
LNS14000000,2023-04,3.4,2023,M04,April
LNS14000000,2023-03,3.5,2023,M03,March
LNS14000000,2023-02,3.6,2023,M02,February
LNS14000000,2023-01,3.4,2023,M01,January
LNS14000000,2022-12,3.5,2022,M12,December
LNS14000000,2022-11,3.6,2022,M11,November
LNS14000000,2022-10,3.6,2022,M10,October
LNS14000000,2022-09,3.5,2022,M09,September
LNS14000000,2022-08,3.6,2022,M08,August
LNS14000000,2022-07,3.5,2022,M07,July
LNS14000000,2022-06,3.6,2022,M06,June
LNS14000000,2022-05,3.6,2022,M05,May
LNS14000000,2022-04,3.7,2022,M04,April
LNS14000000,2022-03,3.6,2022,M03,March
LNS14000000,2022-02,3.8,2022,M02,February
LNS14000000,2022-01,4.0,2022,M01,January
CES0500000003,2023-12,34.34,2023,M12,December
CES0500000003,2023-11,34.23,2023,M11,November
CES0500000003,2023-10,34.1,2023,M10,October
CES0500000003,2023-09,34.01,2023,M09,September
CES0500000003,2023-08,33.91,2023,M08,August
CES0500000003,2023-07,33.84,2023,M07,July
CES0500000003,2023-06,33.7,2023,M06,June
CES0500000003,2023-05,33.54,2023,M05,May
CES0500000003,2023-04,33.44,2023,M04,April
CES0500000003,2023-03,33.31,2023,M03,March
CES0500000003,2023-02,33.15,2023,M02,February
CES0500000003,2023-01,33.07,2023,M01,January
CES0500000003,2022-12,32.94,2022,M12,December
CES0500000003,2022-11,32.83,2022,M11,November
CES0500000003,2022-10,32.7,2022,M10,October
CES0500000003,2022-09,32.54,2022,M09,September
CES0500000003,2022-08,32.44,2022,M08,August
CES0500000003,2022-07,32.33,2022,M07,July
CES0500000003,2022-06,32.2,2022,M06,June
CES0500000003,2022-05,32.08,2022,M05,May
CES0500000003,2022-04,31.95,2022,M04,April
CES0500000003,2022-03,31.84,2022,M03,March
CES0500000003,2022-02,31.65,2022,M02,February
CES0500000003,2022-01,31.63,2022,M01,January
CES3000000001,2023-12,12960.0,2023,M12,December
CES3000000001,2023-11,12948.0,2023,M11,November
CES3000000001,2023-10,12923.0,2023,M10,October
CES3000000001,2023-09,12954.0,2023,M09,September
CES3000000001,2023-08,12941.0,2023,M08,August
CES3000000001,2023-07,12939.0,2023,M07,July
CES3000000001,2023-06,12945.0,2023,M06,June
CES3000000001,2023-05,12936.0,2023,M05,May
CES3000000001,2023-04,12941.0,2023,M04,April
CES3000000001,2023-03,12932.0,2023,M03,March
CES3000000001,2023-02,12940.0,2023,M02,February
CES3000000001,2023-01,12942.0,2023,M01,January
CES3000000001,2022-12,12934.0,2022,M12,December
CES3000000001,2022-11,12935.0,2022,M11,November
CES3000000001,2022-10,12930.0,2022,M10,October
CES3000000001,2022-09,12899.0,2022,M09,September
CES3000000001,2022-08,12882.0,2022,M08,August
CES3000000001,2022-07,12852.0,2022,M07,July
CES3000000001,2022-06,12817.0,2022,M06,June
CES3000000001,2022-05,12787.0,2022,M05,May
CES3000000001,2022-04,12768.0,2022,M04,April
CES3000000001,2022-03,12717.0,2022,M03,March
CES3000000001,2022-02,12649.0,2022,M02,February
CES3000000001,2022-01,12602.0,2022,M01,January
LNS14100000,2023-12,3.8,2023,M12,December
LNS14100000,2023-11,3.7,2023,M11,November
LNS14100000,2023-10,3.7,2023,M10,October
LNS14100000,2023-09,3.6,2023,M09,September
LNS14100000,2023-08,3.7,2023,M08,August
LNS14100000,2023-07,3.4,2023,M07,July
LNS14100000,2023-06,3.5,2023,M06,June
LNS14100000,2023-05,3.6,2023,M05,May
LNS14100000,2023-04,3.4,2023,M04,April
LNS14100000,2023-03,3.4,2023,M03,March
LNS14100000,2023-02,3.5,2023,M02,February
LNS14100000,2023-01,3.4,2023,M01,January
LNS14100000,2022-12,3.4,2022,M12,December
LNS14100000,2022-11,3.5,2022,M11,November
LNS14100000,2022-10,3.6,2022,M10,October
LNS14100000,2022-09,3.4,2022,M09,September
LNS14100000,2022-08,3.6,2022,M08,August
LNS14100000,2022-07,3.4,2022,M07,July
LNS14100000,2022-06,3.6,2022,M06,June
LNS14100000,2022-05,3.5,2022,M05,May
LNS14100000,2022-04,3.5,2022,M04,April
LNS14100000,2022-03,3.5,2022,M03,March
LNS14100000,2022-02,3.8,2022,M02,February
LNS14100000,2022-01,3.9,2022,M01,January
